num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,native_mode

4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",max,512.0,elu,True,16,AdamW,,1e-05,0.0,False
1,[512],False,L2,0.1,[],[],max,128.0,leakyrelu,False,64,AdamW,,0.001,0.0,False
3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",last,512.0,elu,False,16,Adam,,0.0001,5e-07,False
1,[384],False,L2,0.4,[],[],max,512.0,tanh,True,16,RMSprop,,5e-05,1e-07,False
4,"[128, 192, 256, 384]",False,L2,0.0,"[2, 3]","[1, 2]",max,128.0,leakyrelu,False,64,AdamW,,0.001,1e-05,False
1,[256],False,minmax,0.0,[],[],last,128.0,gelu,True,96,Adam,,0.0002,1e-06,False
1,[448],False,L2,0.0,[],[],last,64.0,tanh,True,16,AdamW,,0.0001,1e-06,False
1,[64],False,L2,0.4,[],[],last,,,False,64,Adam,,0.01,1e-07,False
3,"[512, 256, 128]",True,L2,0.2,[],[],max,256.0,elu,False,32,RMSprop,,0.001,1e-06,False
2,"[384, 384]",False,L2,0.0,[],[],last,,,False,96,AdamW,,0.0008,5e-06,True
1,[256],True,L2,0.2,[],[],mean,,,False,64,AdamW,0.0,0.0005,1e-05,True
2,"[512, 512]",True,minmax,0.1,[],[1],last,128.0,relu,True,96,AdamW,0.0,0.0002,2e-06,True
3,"[256, 256, 256]",True,L2,0.3,"[1, 2]",[],mean,,,False,96,RMSprop,0.0,0.0005,1e-06,True
2,"[640, 640]",True,L2,0.1,[],[1],max,,,True,96,AdamW,0.0,0.0001,2e-06,True
3,"[448, 320, 256]",True,L2,0.25,"[1, 2]",[],attention,,,False,64,Adam,0.0,0.0007,1e-06,False
3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64.0,tanh,False,64,AdamW,0.0,0.001,0.0005,True
2,"[256, 128]",True,L2,0.4,[1],[],max,128.0,elu,True,32,Adam,0.0,0.0007,0.0005,False
3,"[256, 256, 256]",False,L2,0.1,[],[],mean,,,True,96,AdamW,0.0,0.0004,1e-05,True
3,"[128, 128, 128]",True,L2,0.3,[],[],max,,,True,128,AdamW,0.0,0.0008,5e-06,True
4,"[256, 256, 256, 256]",True,L2,0.2,[],[],last,,,True,64,AdamW,0.0,0.0003,5e-05,True
